"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"1400000US51001090101","Census Tract 901.01; Accomack County; Virginia","1005","151","7.9","5.9","0.0","3.9","8.2","6.5","8.5","5.3","13.7","9.5","25.1","10.8","12.6","6.9","7.0","5.1","5.8","4.1","11.3","6.0","65977","6825","92092","18407","39.9","(X)","(X)","(X)","(X)","(X)","582","119","6.2","8.3","0.0","6.6","3.8","3.6","5.8","7.1","11.0","11.9","12.0","8.7","19.6","11.7","12.0","8.7","10.0","7.0","19.6","10.1","93000","20216","126653","31073","(X)","(X)","26.3","(X)","(X)","(X)","570","120","6.3","8.4","0.0","6.8","2.6","2.8","6.0","7.2","10.4","12.7","12.3","8.9","20.0","12.1","12.3","9.0","10.2","7.2","20.0","10.1","95111","19274","N","N","(X)","(X)","(X)","(X)","(X)","(X)","423","145","10.2","8.6","0.0","9.0","15.8","14.8","12.1","8.8","17.5","14.7","41.4","20.6","3.1","3.6","0.0","9.0","0.0","9.0","0.0","9.0","46134","12568","44118","8106","(X)","(X)","(X)","(X)","58.6","(X)",
"1400000US51001090102","Census Tract 901.02; Accomack County; Virginia","793","137","14.1","10.6","2.6","3.3","8.2","6.9","19.5","10.4","25.3","10.8","7.6","4.9","4.3","3.3","11.5","8.4","5.8","5.5","1.0","1.5","36699","4697","58442","15929","41.4","(X)","(X)","(X)","(X)","(X)","373","99","2.1","4.2","4.3","6.5","8.0","8.5","7.0","9.8","36.5","20.1","5.6","5.2","3.8","4.9","21.7","16.8","11.0","12.0","0.0","10.2","39795","35019","74322","25011","(X)","(X)","41.0","(X)","(X)","(X)","304","98","0.0","12.3","5.3","8.1","9.9","10.2","6.9","9.5","26.3","18.4","6.9","6.3","4.6","5.8","26.6","20.0","13.5","14.2","0.0","12.3","-","**","N","N","(X)","(X)","(X)","(X)","(X)","(X)","420","152","24.8","17.9","1.2","1.9","8.3","10.0","30.7","17.5","15.5","12.1","9.3","7.5","4.8","4.5","2.4","3.0","1.2","2.3","1.9","3.0","28509","3794","44340","20131","(X)","(X)","(X)","(X)","41.7","(X)",
"1400000US51001090201","Census Tract 902.01; Accomack County; Virginia","1408","281","0.0","2.8","3.9","4.0","10.2","7.9","19.5","11.0","14.9","5.5","21.7","9.9","13.1","8.2","14.0","7.4","2.6","2.4","0.0","2.8","50877","16249","60714","8577","38.1","(X)","(X)","(X)","(X)","(X)","1048","224","0.0","3.7","1.0","1.7","13.7","10.6","12.7","10.8","17.3","6.2","18.8","9.6","15.6","9.2","17.3","9.5","3.5","3.2","0.0","3.7","52412","17269","65702","10381","(X)","(X)","38.4","(X)","(X)","(X)","959","205","0.0","4.1","1.1","1.8","13.9","12.0","5.7","5.5","18.9","7.1","20.5","10.2","17.1","9.6","18.9","10.2","3.9","3.4","0.0","4.1","57829","21407","N","N","(X)","(X)","(X)","(X)","(X)","(X)","360","197","0.0","10.5","12.2","16.8","0.0","10.5","39.4","25.2","8.1","9.8","30.0","29.6","5.8","16.8","4.4","7.0","0.0","10.5","0.0","10.5","-","**","45726","12099","(X)","(X)","(X)","(X)","37.2","(X)",
"1400000US51001090202","Census Tract 902.02; Accomack County; Virginia","1141","188","9.2","5.7","8.1","6.8","6.7","6.4","15.4","10.7","5.5","7.1","23.5","9.7","4.6","6.2","10.6","8.8","11.5","8.1","5.0","5.1","57438","17442","69934","15187","42.9","(X)","(X)","(X)","(X)","(X)","786","169","4.7","7.6","0.0","5.0","15.4","8.4","16.0","8.3","6.4","9.8","14.0","10.5","4.2","6.9","15.4","12.6","16.7","11.2","7.3","7.3","63426","30495","84005","20176","(X)","(X)","46.9","(X)","(X)","(X)","452","134","8.2","12.4","0.0","8.5","5.5","7.8","11.5","12.9","0.0","8.5","12.4","12.7","2.4","4.5","18.4","15.3","29.0","18.1","12.6","11.9","102163","54484","N","N","(X)","(X)","(X)","(X)","(X)","(X)","355","148","19.2","15.0","25.9","21.5","14.4","18.0","25.6","23.7","3.7","6.3","5.9","9.4","5.4","11.6","0.0","10.6","0.0","10.6","0.0","10.6","20972","11868","24215","8001","(X)","(X)","(X)","(X)","34.1","(X)",
"1400000US51001090300","Census Tract 903; Accomack County; Virginia","861","131","9.9","7.7","6.4","3.9","7.1","4.2","6.3","4.0","18.4","6.4","18.2","6.0","13.1","5.4","7.4","4.3","8.5","5.6","4.8","3.9","53897","15061","70327","12878","44.5","(X)","(X)","(X)","(X)","(X)","605","132","12.6","10.6","4.5","5.3","2.3","3.6","3.8","2.1","17.4","9.0","15.5","6.2","16.0","7.4","9.8","5.8","12.1","7.7","6.1","5.6","60852","17236","81844","17248","(X)","(X)","43.3","(X)","(X)","(X)","423","80","8.0","7.7","0.0","9.0","0.0","9.0","3.8","2.7","12.5","7.2","19.1","7.5","21.5","10.1","9.5","6.7","16.8","10.4","8.7","7.6","88958","22479","N","N","(X)","(X)","(X)","(X)","(X)","(X)","256","65","3.5","2.8","10.9","6.4","18.4","9.5","14.8","11.2","32.0","15.7","12.9","7.3","6.6","5.3","0.8","2.2","0.0","14.4","0.0","14.4","35313","6087","36639","4595","(X)","(X)","(X)","(X)","35.5","(X)",
"1400000US51001090401","Census Tract 904.01; Accomack County; Virginia","1081","165","0.5","0.7","7.9","7.2","8.7","6.7","8.2","7.1","6.1","4.6","15.2","9.2","26.9","11.8","16.6","8.9","7.0","5.7","3.0","1.9","83265","20674","77811","10607","58.7","(X)","(X)","(X)","(X)","(X)","866","182","0.6","0.8","8.2","8.5","0.0","4.5","14.4","9.0","6.9","5.8","17.2","11.3","26.7","13.9","20.7","11.2","2.9","3.7","2.4","2.2","82724","19573","75908","8663","(X)","(X)","63.2","(X)","(X)","(X)","484","161","1.0","1.5","5.6","7.7","0.0","7.9","8.9","8.7","4.3","7.0","12.2","10.6","25.8","19.8","32.6","15.9","5.2","7.0","4.3","4.2","91381","11129","N","N","(X)","(X)","(X)","(X)","(X)","(X)","215","100","0.0","16.9","6.5","12.5","43.7","25.5","7.0","12.2","2.8","4.1","7.0","9.6","27.9","29.0","0.0","16.9","0.0","16.9","5.1","8.2","-","**","55311","24996","(X)","(X)","(X)","(X)","40.9","(X)",
"1400000US51001090402","Census Tract 904.02; Accomack County; Virginia","1448","202","4.1","3.2","6.2","6.3","10.3","6.8","14.4","7.9","18.0","6.2","23.2","7.7","9.7","6.5","7.3","3.9","3.1","4.3","3.6","4.9","48628","8946","64435","16329","49.8","(X)","(X)","(X)","(X)","(X)","963","194","1.3","2.5","1.8","3.2","10.7","8.1","8.8","9.5","18.2","10.8","33.1","11.4","5.7","5.3","10.3","5.6","4.7","6.3","5.4","7.5","59375","21557","76053","22698","(X)","(X)","59.1","(X)","(X)","(X)","600","174","0.0","6.4","0.0","6.4","1.0","1.8","12.7","13.5","19.3","14.5","26.7","13.7","8.8","8.5","15.3","9.8","7.5","10.0","8.7","11.8","65333","30099","N","N","(X)","(X)","(X)","(X)","(X)","(X)","485","138","12.4","9.8","18.6","16.7","17.3","12.8","25.6","15.3","14.8","9.4","3.9","3.4","6.0","5.5","1.4","1.8","0.0","7.9","0.0","7.9","25531","7491","29909","5727","(X)","(X)","(X)","(X)","13.6","(X)",
"1400000US51001090500","Census Tract 905; Accomack County; Virginia","890","133","6.2","4.8","5.7","6.3","10.1","5.1","9.3","6.4","13.7","7.8","17.9","8.0","17.0","6.7","11.8","5.9","5.8","5.4","2.5","2.4","58333","17308","74537","16734","40.4","(X)","(X)","(X)","(X)","(X)","547","120","7.9","7.3","0.0","7.0","8.8","9.2","9.1","8.9","10.1","7.6","19.0","9.1","22.7","10.7","12.1","6.4","8.4","8.3","2.0","3.3","68750","16598","73845","11690","(X)","(X)","44.6","(X)","(X)","(X)","399","102","7.8","9.4","0.0","9.5","6.0","8.6","5.8","6.5","7.3","7.5","18.0","10.1","27.8","13.6","13.0","7.9","11.5","11.2","2.8","4.5","82697","14698","N","N","(X)","(X)","(X)","(X)","(X)","(X)","343","116","3.5","3.8","14.9","14.7","19.2","12.8","9.6","9.6","14.9","10.9","18.7","12.1","5.5","4.8","9.9","9.8","0.6","1.4","3.2","3.9","36979","24412","70886","39551","(X)","(X)","(X)","(X)","33.8","(X)",
"1400000US51001090600","Census Tract 906; Accomack County; Virginia","1994","222","3.7","2.0","7.7","2.9","8.1","4.3","10.0","5.4","8.6","4.1","22.0","7.0","13.1","4.7","10.0","3.6","8.3","4.4","8.5","3.5","68582","4439","90324","13887","42.9","(X)","(X)","(X)","(X)","(X)","1168","185","1.6","1.7","1.3","2.0","1.5","1.4","6.3","4.8","5.9","3.5","25.3","10.3","21.5","7.6","15.9","5.7","7.9","4.5","12.7","5.7","83333","17339","118215","19853","(X)","(X)","50.1","(X)","(X)","(X)","907","166","0.7","1.0","0.3","0.6","1.3","1.7","4.4","5.1","3.3","2.4","19.2","11.5","24.6","9.8","20.1","6.9","10.1","5.8","16.0","7.7","95665","20921","N","N","(X)","(X)","(X)","(X)","(X)","(X)","826","174","6.7","4.4","18.3","6.5","17.3","9.1","15.3","10.6","14.2","7.5","13.9","7.5","1.3","1.6","1.7","1.4","8.8","8.3","2.5","2.9","27133","8487","48945","13751","(X)","(X)","(X)","(X)","32.8","(X)",
"1400000US51001090700","Census Tract 907; Accomack County; Virginia","2363","247","1.7","1.7","6.6","3.7","4.6","2.5","16.5","7.7","22.5","8.3","13.3","5.7","17.1","6.5","10.4","5.2","2.5","2.0","4.9","4.2","48750","6766","73851","14865","40.0","(X)","(X)","(X)","(X)","(X)","1520","255","1.9","2.8","0.1","0.2","5.0","3.6","12.4","9.7","20.0","10.0","10.3","5.2","23.6","9.7","15.6","7.6","3.8","3.1","7.3","6.6","77000","17303","93609","22284","(X)","(X)","45.2","(X)","(X)","(X)","994","205","0.0","3.9","0.0","3.9","1.7","2.5","3.2","2.7","21.4","11.5","14.8","8.0","24.9","10.2","18.1","10.2","5.4","4.5","10.4","9.7","87500","17874","N","N","(X)","(X)","(X)","(X)","(X)","(X)","843","229","1.4","1.5","18.4","9.0","5.0","4.3","23.7","14.7","27.2","15.6","17.4","13.3","5.3","4.7","1.1","2.2","0.0","4.6","0.5","0.8","35377","9127","37657","4558","(X)","(X)","(X)","(X)","30.6","(X)",
